PATH,DIRECTORY,FILENAME,EXTENSION,BYTES,MTIME,MODDATE,MD5,SHA1,SHA256
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0213.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0213.pdf,PDF,324854,1488815262,2017-03-06T10:47:42,d0dbe328412b51a3c2dc45010d718260,28a6ef4c03b9ae88da9f97c3e969b98c3751c119,92813866be0ffc4e88e9eadb99d8cbe03c82d1c3fd4e2f357be3f96094fd29b6
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0207.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0207.pdf,PDF,328597,1488815256,2017-03-06T10:47:36,06d155484a4bb25fa85e60c2bb2e42e3,21d07fa354ed4dd98d82a29d68786ae0a4d7db7e,7f3ac4508ec240ca5eec94e21f45c108092e09d48d06058ca48f086a48a940b3
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0206.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0206.pdf,PDF,507711,1488815255,2017-03-06T10:47:35,c7f4bde91770fa5f38e7b9ec110fe1c7,95b4a502564f8cc2298bd70234fbfc8e436673ac,d7c09c7f94803c6530c9b33190ec761c177de42f1bf47f5245a36aeb6abc5349
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0212.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0212.pdf,PDF,312478,1488815261,2017-03-06T10:47:41,4d21a9c644acff569780a88c0d20313e,6a3b985865f8660bc00520af8f8f09549a32d6fc,14a842a182185db215a5225968f34a56d0534917f50b2abdf5e1125adbe48513
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0238.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0238.pdf,PDF,307307,1488815311,2017-03-06T10:48:31,3172e86acc13cbe9a4ccb823d5d88db7,7c98c657d81b82d3e0a6382eee5874666f563ca3,3046d89d694ebcbacdba74cfb28ed31aef6668e50e11f47924ae44438095e560
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0204.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0204.pdf,PDF,564733,1488815253,2017-03-06T10:47:33,6cb3e52dca5ff60c088176fe5c1b307f,f59a4aabd8bfc64b4ee5048d437ba7376df927bc,6cfb3586922fbc74b4c703fa18dc866052566d2156b50052e091a53748895236
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0210.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0210.pdf,PDF,494091,1488815259,2017-03-06T10:47:39,9716b4542a1489403655e221472b4570,a563cde5dee8a580724986610d739675d42816e2,3ba21fb57436a7622919d01d0c669e14854028ced3f02b5c84fd353f8d27bc6d
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0211.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0211.pdf,PDF,306157,1488815260,2017-03-06T10:47:40,d7d84c916cac108d0339cea5fa37da06,7df009bf7c20033e6b6bb76e7b3379442f82efb7,72a40a59cd1c08e407a0eda4ae88c86db31c188b787878a7d158deadc8fd3dd8
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0205.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0205.pdf,PDF,584832,1488815254,2017-03-06T10:47:34,c39d61198da37143f042aac0dc2ac04a,7c61e98b14251d199b808352cf3fd51df3c6d2c1,5272df423bb42dfe14cfcf1132c8c9969a9eec6ac4e6213a94e652484966c8d5
/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299/pp_0239.pdf,/Users/westgard/Box Sync/Plant Patents Digitization Project/PDFs/200-299,pp_0239.pdf,PDF,426681,1488815315,2017-03-06T10:48:35,bc5aa4e2652aae31fcf5dc5bdc01e184,221f4bfacd478b96b1de61eac49c97badcaced66,5bd3a8ca7dc19a96910e0ad55a747858a5eca2f199a5d7408e3852705786d9c1
